12	200000	23607.91359
25	200000	5861.213248
37	200000	674.4036565
50	200000	672.7953896
62	200000	168.2920082
75	78727.54479	276.8193242
87	20272.88154	42.25661646
100	12051.62754	150.788327
112	6072.013641	11.623862
125	4568.534927	93.88729433
137	3110.111452	38.86295965
150	2415.489209	57.89238878
162	1897.154086	44.28346001
175	1506.801912	34.42756093
187	1278.656752	38.61882046
200	1033.421529	17.94731114
212	922.5996999	31.27023086
225	755.474382	7.345933047
237	700.3936614	25.7039794
250	581.768459	2.785412986
262	547.3069537	18.59525655
275	476.8068432	8.907081095
287	438.3233555	12.1895325
300	398.7886828	12.75324989
312	359.3053833	7.711165275
325	335.8501453	12.66120941
337	297.4420538	2.490004567
350	285.8058284	11.37496209
362	254.2205728	1.895403571
375	246.723784	10.56905863
387	225.3660965	5.826410731
400	213.2906114	8.169292464
412	199.2210928	6.874378202
425	185.4412923	5.621333812
437	176.7291637	6.921374996
450	161.9607555	3.035167377
462	157.2527087	6.306510448
475	142.8924627	1.303610175
487	141.2715682	6.133293693
