0	3.28267	3.280525	3.285555
2	3.28618	3.28531	3.293741
4	3.306417	3.293585	3.319266
6	3.318234	3.304301	3.351295
8	3.337235	3.311742	3.378211
10	3.361418	3.326153	3.419284
12	3.382964	3.3424	3.445824
14	3.40546	3.357743	3.476127
16	3.428667	3.369234	3.495196
18	3.443859	3.37471	3.514845
20	3.453101	3.377598	3.533639
22	3.461645	3.380736	3.543728
24	3.467862	3.380738	3.552935
26	3.471875	3.383507	3.559373
28	3.475527	3.384621	3.566389
30	3.477793	3.393081	3.575282
32	3.48016	3.3915	3.578284
34	3.478936	3.390436	3.576831
36	3.481832	3.393056	3.577198
38	3.483229	3.391522	3.577745
40	3.478233	3.389031	3.577237
42	3.479479	3.386144	3.576258
