0	3.131258	3.136361	3.143162
2	3.133625	3.143141	3.145785
4	3.145771	3.158118	3.174225
6	3.154449	3.172513	3.200296
8	3.172645	3.198946	3.228154
10	3.181983	3.207653	3.256309
12	3.199306	3.222737	3.283868
14	3.202527	3.244648	3.314596
16	3.216156	3.268691	3.335548
18	3.222391	3.286809	3.348391
20	3.229201	3.302418	3.367562
22	3.235681	3.305409	3.383659
24	3.239984	3.309432	3.390235
26	3.242729	3.318761	3.40673
28	3.242897	3.318415	3.412145
30	3.244055	3.319918	3.418867
32	3.244153	3.325306	3.42009
34	3.242207	3.326753	3.424281
36	3.244873	3.328846	3.424509
38	3.243253	3.330243	3.426551
40	3.245012	3.328792	3.424815
42	3.240518	3.328428	3.424046
44	3.237715	3.327915	3.423713
46	3.23245	3.332469	3.419787
48	3.230376	3.331669	3.416879
50	3.224412	3.33082	3.408322
52	3.217805	3.330001	3.402176
54	3.218974	3.324817	3.396901
56	3.207675	3.326834	3.389157
58	3.194147	3.329518	3.386743
60	3.188467	3.326233	3.37707
62	3.182669	3.328849	3.367165
64	3.178226	3.328533	3.366123
66	3.177619	3.32779	3.360859
68	3.17386	3.327208	3.357887
